,Lowest Rates,LL,"* ""As Low As"" for Landlines",Mob,"* ""As Low As"" for Mobiles"
JAPAN,$0.21,$0.21,,$0.21,
JORDAN,$0.39,$0.39,,$0.39,
KAZAKHSTAN,$0.25,$0.25,,$0.25,
KENYA,$0.50,$0.50,,$0.50,
KIRIBATI,$1.00,$1.00,,$1.00,
KOREA (NORTH),$2.50,$2.50,,$2.50,
KOREA (SOUTH),$0.10,$0.10,,$0.10,
KUWAIT,$0.25,$0.25,,$0.25,
KYRGYZSTAN,$0.30,$0.30,,$0.30,
LAOS,$0.35,$0.35,,$0.35,
LATVIA,$0.25,$0.25,,$0.25,As low as rate
LEBANON,$0.25,$0.25,,$0.25,
LESOTHO,$0.50,$0.50,,$0.50,
LIBERIA,$0.80,$0.80,,$0.80,
LIBYA,$0.45,$0.45,,$0.45,
LIECHTENSTEIN,$0.53,$0.53,,$0.80,
LITHUANIA,$0.39,$0.39,,$0.39,
LUXEMBOURG,$0.33,$0.33,,$0.33,
MACAU,$0.80,$0.80,,$0.80,
MACEDONIA,$0.40,$0.40,,$0.40,
MADAGASCAR,$0.65,$0.65,As low as rate,$0.65,
MALAWI,$0.40,$0.40,,$0.40,
MALAYSIA,$0.20,$0.20,,$0.23,
MALDIVES REPUBLIC,$1.56,$1.56,,$1.56,
MALI,$1.19,$1.19,,$1.19,
MALTA REPUBLIC,$0.50,$0.50,,$0.50,
MARSHALL ISLANDS,$0.75,$0.75,,$0.75,
MARTINIQUE,$0.72,$0.72,,$0.72,
MAURITANIA,$0.80,$0.80,,$0.80,
MAURITIUS,$0.50,$0.50,,$0.50,
MEXICO,$0.02,$0.02,As low as rate,$0.20,
MICRONESIA,$0.50,$0.50,,$0.50,
MOLDOVA,$0.35,$0.35,,$0.35,
MONACO,$0.21,$0.21,,$0.40,As low as rate
MONGOLIA,$1.50,$1.50,,$1.50,
MONTENEGRO,$0.40,$0.40,,$0.40,
MONTSERRAT,$0.30,$0.30,,$0.30,
MOROCCO,$0.61,$0.61,,$0.61,As low as rate
MOZAMBIQUE,$0.25,$0.25,,$0.65,
MYANMAR (BURMA),$0.50,$0.50,,$0.50,
NAMIBIA,$0.30,$0.30,,$0.30,
NAURU,$2.50,$2.50,,$2.50,
NEPAL,$0.50,$0.50,,$0.50,
NETHERLANDS ANTILLES,$0.25,$0.25,,$0.25,
NETHERLANDS,$0.30,$0.30,,$0.30,
NEW CALEDONIA,$0.50,$0.50,,$0.50,
NEW ZEALAND,$0.37,$0.37,,$0.37,
NICARAGUA,$0.15,$0.15,,$0.45,
NIGER,$0.35,$0.35,,$0.35,As low as rate
NIGERIA,$0.61,$0.61,,$0.61,
NIUE ISLAND,$5.00,$5.00,,$5.00,
NORWAY,$0.26,$0.26,,$0.26,
OMAN,$0.50,$0.50,,$0.50,
PAKISTAN,$0.35,$0.35,,$0.35,
PALAU,$0.75,$0.75,,$0.75,
PANAMA,$0.05,$0.05,As low as rate,$0.14,
PAPUA NEW GUINEA,$1.00,$1.00,,$1.00,
PARAGUAY,$0.41,$0.41,,$0.41,
PERU,$0.52,$0.52,,$0.52,
PHILIPPINES,$0.20,$0.20,,$0.20,
POLAND,$0.38,$0.38,,$0.38,
PORTUGAL,$0.10,$0.10,,$0.10,
QATAR,$0.50,$0.50,,$0.50,
REUNION ISLAND,$1.15,$1.15,,$1.15,
ROMANIA,$0.50,$0.50,,$0.50,
RUSSIA,$0.25,$0.25,As low as rate,$0.25,
RWANDA,$0.35,$0.35,,$0.35,
SAN MARINO,$0.30,$0.30,,$0.45,
SAO TOME/PRINCIPE,$4.00,$4.00,,$4.00,
SAUDI ARABIA,$0.25,$0.25,,$0.35,
SENEGAL,$0.50,$0.50,,$0.60,
SERBIA,$0.35,$0.35,,$0.35,
SEYCHELLES,$0.75,$0.75,,$0.75,
SIERRA LEONE,$0.50,$0.50,,$0.50,
SINGAPORE,$0.15,$0.15,,$0.15,
SINT MAARTEN,$0.55,$0.55,,$0.55,
SLOVAKIA,$0.25,$0.25,,$0.25,
SLOVENIA,$0.86,$0.86,,$0.86,
SOLOMON ISLANDS,$1.50,$1.50,,$1.50,
SOMALIA,$0.50,$0.50,,$0.50,
SOUTH AFRICA,$0.49,$0.49,,$0.49,
SOUTH SUDAN,$0.60,$0.60,,$0.60,
SPAIN,$0.28,$0.28,,$0.28,
SRI LANKA,$0.35,$0.35,,$0.35,
ST HELENA,$1.75,$1.75,,$1.75,
ST KITTS/NEVIS,$0.35,$0.35,,$0.43,
ST LUCIA,$0.35,$0.35,,$0.45,
ST PIERRE/MIQUELON,$0.50,$0.50,,$0.50,
ST VINCENT/GRENADINE,$0.35,$0.35,,$0.45,
SUDAN,$0.91,$0.91,,$0.91,
SURINAME,$0.50,$0.50,,$0.50,As low as rate
SWAZILAND,$0.30,$0.30,,$0.30,
SWEDEN,$0.38,$0.38,,$0.38,
SWITZERLAND,$0.41,$0.41,,$0.41,As low as rate
SYRIA,$0.90,$0.90,,$0.90,
TAIWAN,$0.10,$0.10,,$0.25,
TAJIKISTAN,$0.37,$0.37,,$0.37,
TANZANIA,$0.50,$0.50,,$0.50,
THAILAND,$0.25,$0.25,,$0.25,
TOGO,$0.60,$0.60,,$0.60,
TOKELAU,$3.00,$3.00,,$3.00,
TONGA,$0.75,$0.75,,$0.75,
TRINIDAD/TOBAGO,$0.40,$0.40,,$0.40,
TUNISIA,$0.60,$0.60,,$0.60,
TURKEY,$0.47,$0.47,,$0.47,As low as rate
TURKMENISTAN,$0.50,$0.50,,$0.50,
TURKS/CAICOS,$0.35,$0.35,,$0.35,
TUVALU,$2.90,$2.90,,$2.90,
UGANDA,$0.50,$0.50,,$0.50,
UKRAINE,$0.25,$0.25,As low as rate,$0.34,As low as rate
UNITED ARAB EMIRATES,$0.40,$0.40,,$0.40,
UNITED KINGDOM,$0.20,$0.20,As low as rate,$0.20,As low as rate
URUGUAY,$0.25,$0.25,,$0.45,
UZBEKISTAN,$0.20,$0.20,,$0.20,
VANUATU,$3.00,$3.00,,$3.00,
VENEZUELA,$0.45,$0.45,,$0.45,As low as rate
VIETNAM,$0.15,$0.15,,$0.15,
WALLIS/FUTUNA ISLAND,$3.00,$3.00,,$3.00,
WESTERN SAMOA,$0.75,$0.75,,$0.75,
YEMEN REP,$0.25,$0.25,,$0.25,
ZAMBIA,$0.25,$0.25,,$0.25,As low as rate
ZIMBABWE,$0.25,$0.25,,$0.50,
